"Dataset_ID","slice","Longitude","Latitude","MAAT_WAPLS","biome"
27,"6000",-57.366667,54.583333,-3.5,3
27,"7000",-57.366667,54.583333,-2.8,3
27,"8000",-57.366667,54.583333,-5.1,2
27,"9000",-57.366667,54.583333,-4.3,2
31,"0",152.312778,60.136667,-10.8,2
31,"1000",152.312778,60.136667,-10.25,2
31,"2000",152.312778,60.136667,-10.2,2
31,"3000",152.312778,60.136667,-10.1333333333333,2
31,"4000",152.312778,60.136667,-10.25,2
31,"5000",152.312778,60.136667,-10.15,2
31,"6000",152.312778,60.136667,-10.35,2
31,"7000",152.312778,60.136667,-10.2,2
31,"8000",152.312778,60.136667,-10.2,2
31,"9000",152.312778,60.136667,-9.92,2
31,"10000",152.312778,60.136667,-10.08,2
33,"3000",131.816667,43.316667,4.04,3
33,"5000",131.816667,43.316667,4.6,3
33,"6000",131.816667,43.316667,3.5,3
68,"2000",178.7,67.75,-12.2,1
68,"7000",178.7,67.75,-10.7,2
69,"2000",178.6,67.666667,-13.8,1
69,"3000",178.6,67.666667,-9.26666666666667,2
69,"4000",178.6,67.666667,-5.3,2
200,"1000",41.308333,43.268056,6.75714285714286,3
200,"2000",41.308333,43.268056,8.65714285714286,3
203,"0",-85.50132,36.03015,10.85,3
203,"1000",-85.50132,36.03015,9.075,3
203,"2000",-85.50132,36.03015,8.925,3
203,"3000",-85.50132,36.03015,8.1,3
203,"4000",-85.50132,36.03015,9.2,3
203,"5000",-85.50132,36.03015,9.7,3
203,"6000",-85.50132,36.03015,8.8,3
203,"7000",-85.50132,36.03015,6.7,3
203,"8000",-85.50132,36.03015,8,3
203,"9000",-85.50132,36.03015,7.9,3
204,"10000",-93.25,45.725,5.6,3
205,"0",-85.039045,46.701685,4.66666666666667,3
205,"1000",-85.039045,46.701685,4.93,3
206,"0",-128.083333,64.65,-7.3,2
206,"1000",-128.083333,64.65,-5.35,2
206,"2000",-128.083333,64.65,-5.76666666666667,2
206,"3000",-128.083333,64.65,-5.03333333333333,2
206,"4000",-128.083333,64.65,-5.5625,2
206,"5000",-128.083333,64.65,-5.81666666666667,2
206,"6000",-128.083333,64.65,-5.65,2
206,"7000",-128.083333,64.65,-6.35,2
206,"8000",-128.083333,64.65,-6.13333333333333,2
206,"9000",-128.083333,64.65,-7.3,2
206,"10000",-128.083333,64.65,-7.8,2
208,"0",-153.9,67.133333,-6.4,2
208,"1000",-153.9,67.133333,-7.8,2
208,"2000",-153.9,67.133333,-7.9,2
208,"3000",-153.9,67.133333,-7.75,2
208,"4000",-153.9,67.133333,-7.3,2
208,"5000",-153.9,67.133333,-6.7,2
208,"6000",-153.9,67.133333,-6.13333333333333,2
208,"7000",-153.9,67.133333,-5.85,2
208,"8000",-153.9,67.133333,-5.96666666666667,2
208,"9000",-153.9,67.133333,-7.7,2
208,"10000",-153.9,67.133333,-9.03333333333333,2
209,"1000",-70.684722,47.481667,1.9,3
209,"2000",-70.684722,47.481667,1.65,3
209,"3000",-70.684722,47.481667,1.4,3
209,"4000",-70.684722,47.481667,2.4,3
209,"6000",-70.684722,47.481667,1.4,3
209,"7000",-70.684722,47.481667,2.1,3
209,"8000",-70.684722,47.481667,2.2,3
209,"9000",-70.684722,47.481667,2.2,3
209,"10000",-70.684722,47.481667,2.1,3
210,"0",-105.45,43.5,5.3,3
210,"1000",-105.45,43.5,7.1,3
210,"2000",-105.45,43.5,6.9,3
210,"3000",-105.45,43.5,6.35,3
210,"4000",-105.45,43.5,6.23333333333333,3
210,"5000",-105.45,43.5,5.85,3
210,"6000",-105.45,43.5,6.15,3
210,"8000",-105.45,43.5,6.25,3
210,"9000",-105.45,43.5,5.9,3
210,"10000",-105.45,43.5,6.3,3
