"Dataset_ID","slice","Lat","Lon","MAT"
208,5000,67.133333,-153.9,-8.38697134531461
208,5500,67.133333,-153.9,-7.78697134531461
208,6000,67.133333,-153.9,-8.43697134531461
208,0,67.133333,-153.9,-8.48697134531461
208,500,67.133333,-153.9,-9.48697134531461
208,1000,67.133333,-153.9,-10.2869713453146
208,1500,67.133333,-153.9,-10.4869713453146
208,2000,67.133333,-153.9,-9.48697134531461
208,2500,67.133333,-153.9,-9.08697134531461
208,3000,67.133333,-153.9,-10.5869713453146
208,3500,67.133333,-153.9,-10.1869713453146
208,4000,67.133333,-153.9,-8.58697134531461
208,8000,67.133333,-153.9,-8.28697134531461
208,6500,67.133333,-153.9,-8.38697134531461
208,7000,67.133333,-153.9,-7.48697134531461
208,7500,67.133333,-153.9,-7.58697134531461
208,10000,67.133333,-153.9,-11.9869713453146
208,8500,67.133333,-153.9,-9.88697134531461
208,9000,67.133333,-153.9,-9.58697134531461
208,9500,67.133333,-153.9,-10.6869713453146
209,1000,47.481667,-70.684722,1.85095055289567
209,1500,47.481667,-70.684722,0.550950552895665
209,2000,47.481667,-70.684722,2.25095055289567
209,3000,47.481667,-70.684722,1.15095055289567
209,4000,47.481667,-70.684722,2.15095055289567
209,500,47.481667,-70.684722,1.45095055289567
209,5500,47.481667,-70.684722,1.15095055289567
209,6500,47.481667,-70.684722,2.05095055289567
209,7000,47.481667,-70.684722,1.65095055289567
209,8000,47.481667,-70.684722,1.95095055289567
209,9000,47.481667,-70.684722,1.95095055289567
209,9500,47.481667,-70.684722,1.85095055289567
210,3000,43.5,-105.45,5.97343765894572
210,3500,43.5,-105.45,6.07343765894572
210,2000,43.5,-105.45,6.97343765894572
210,2500,43.5,-105.45,7.07343765894572
210,0,43.5,-105.45,5.47343765894572
210,1000,43.5,-105.45,7.27343765894572
210,1500,43.5,-105.45,7.17343765894572
210,10000,43.5,-105.45,5.97343765894572
210,4500,43.5,-105.45,5.67343765894572
210,5000,43.5,-105.45,6.37343765894572
210,5500,43.5,-105.45,6.67343765894572
210,4000,43.5,-105.45,7.07343765894572
210,7500,43.5,-105.45,6.77343765894572
210,8000,43.5,-105.45,6.07343765894572
210,8500,43.5,-105.45,6.07343765894572
210,6000,43.5,-105.45,5.97343765894572
210,9500,43.5,-105.45,6.97343765894572
215,1000,52.95,-6.433333,9.38123431572547
215,1500,52.95,-6.433333,10.1812343157255
215,2000,52.95,-6.433333,9.67012320461436
215,7000,52.95,-6.433333,9.94790098239214
215,8500,52.95,-6.433333,11.0812343157255
215,10000,52.95,-6.433333,4.08123431572547
215,3500,52.95,-6.433333,9.98123431572547
215,4000,52.95,-6.433333,10.2812343157255
215,2500,52.95,-6.433333,9.13123431572547
215,3000,52.95,-6.433333,8.88123431572547
215,5500,52.95,-6.433333,11.0812343157255
215,6000,52.95,-6.433333,10.3812343157255
215,4500,52.95,-6.433333,11.0812343157255
215,5000,52.95,-6.433333,11.0812343157255
215,6500,52.95,-6.433333,10.4312343157255
219,0,45.543056,-73.311111,4.99072931408882
219,500,45.543056,-73.311111,5.29072931408882
219,5500,45.543056,-73.311111,6.19072931408882
219,6000,45.543056,-73.311111,6.29072931408882
219,6500,45.543056,-73.311111,6.09072931408882
219,7000,45.543056,-73.311111,6.19072931408882
219,1000,45.543056,-73.311111,5.29072931408882
219,1500,45.543056,-73.311111,5.59072931408882
219,2000,45.543056,-73.311111,5.39072931408882
219,2500,45.543056,-73.311111,5.29072931408882
219,3000,45.543056,-73.311111,5.89072931408882
219,3500,45.543056,-73.311111,4.89072931408882
219,4000,45.543056,-73.311111,5.64072931408882
219,4500,45.543056,-73.311111,6.44072931408882
219,5000,45.543056,-73.311111,6.24072931408882
219,7500,45.543056,-73.311111,5.89072931408882
219,8000,45.543056,-73.311111,5.94072931408882
219,8500,45.543056,-73.311111,5.89072931408882
219,9000,45.543056,-73.311111,6.19072931408882
219,10000,45.543056,-73.311111,5.69072931408882
221,2500,45.38,-79.51,6.25559906760852
221,3000,45.38,-79.51,4.40559906760852
221,3500,45.38,-79.51,4.50559906760852
221,2000,45.38,-79.51,5.10559906760852
221,0,45.38,-79.51,3.70559906760852
221,500,45.38,-79.51,4.60559906760852
221,1000,45.38,-79.51,4.80559906760852
221,1500,45.38,-79.51,4.10559906760852
221,8500,45.38,-79.51,5.30559906760852
221,9000,45.38,-79.51,4.30559906760852
221,9500,45.38,-79.51,4.75559906760852
221,10000,45.38,-79.51,3.20559906760852
221,8000,45.38,-79.51,7.15559906760852
221,5500,45.38,-79.51,4.95559906760852
221,4000,45.38,-79.51,4.65559906760852
221,4500,45.38,-79.51,4.90559906760852
221,5000,45.38,-79.51,4.60559906760852
221,7500,45.38,-79.51,7.10559906760852
221,6000,45.38,-79.51,4.80559906760852
221,6500,45.38,-79.51,5.70559906760851
221,7000,45.38,-79.51,5.50559906760852
224,1000,78.491667,-76.78,-20.6574849849794
224,1500,78.491667,-76.78,-19.6574849849794
224,2000,78.491667,-76.78,-20.6574849849794
224,2500,78.491667,-76.78,-19.9574849849794
224,3000,78.491667,-76.78,-20.6574849849794
